name,interests
Shirley Willis,Thai
Evelyn Mendoza,Bengali
Julie Rodriguez,Zulu
Nicholas White,Portuguese
Alan Johnson,Hungarian
Angela Wallace,Estonian
Margaret Ramos,Kyrgyz
Denise Nelson,Khmer
Randy Clark,Polish
Paula Harper,Dutch
Melissa Lee,Malagasy
Tammy Brooks,Hungarian
Ashley Martin,Amharic
Andrew Morrison,Quechua
Ann Evans,Burmese
Kathleen Howell,Dzongkha
Virginia Hayes,Sotho
Beverly Hunt,Swati
Christina Moore,Kashmiri
Walter Hayes,Thai
Angela Wallace,Dzongkha
Arthur Riley,Khmer
Brandon Roberts,Kyrgyz
Frances Rodriguez,Macedonian
Julia Austin,Tajik
Annie Fuller,Persian
Samuel Freeman,Arabic
Kathleen Morris,Icelandic
Donna Mccoy,Georgian
Andrea Hicks,Swedish
Stephen Fox,Malayalam
Judy Knight,Hebrew
Roy Myers,Kurdish
Judith Burton,Latvian
Betty Howell,Icelandic
William Morales,New Zealand Sign Language
Ernest Fowler,Swedish
Jean Ross,Dari
Mildred Boyd,Malagasy
Pamela Wallace,Maltese
Shawn Hernandez,Azeri
Martin Hall,Pashto
Andrew Rivera,Swedish
Raymond Lee,Malagasy
Anthony Cunningham,Swati
Ruby Murray,German
David Porter,Bulgarian
Steve Weaver,Hungarian
Charles Russell,Hungarian
Johnny Olson,Arabic
Janet Morrison,French
Mildred Scott,Croatian
Brian Day,Catalan
Paula Ramos,Aymara
Terry Armstrong,Greek
Wayne Stevens,German
Gregory Mcdonald,Swati
Joyce Green,Kyrgyz
Jack Phillips,New Zealand Sign Language
Diane Murray,Czech
Scott Rodriguez,Marathi
Eugene Perry,Yiddish
Jason Woods,Ndebele
Rachel Carroll,Punjabi
Jeffrey Lee,Bulgarian
Andrew Johnson,Maltese
Howard Williamson,Sotho
Gary Hunter,Korean
Steven Palmer,New Zealand Sign Language
Nicholas Mills,Haitian Creole
Lisa Howard,Burmese
Samuel Jenkins,Malayalam
David Fernandez,Italian
Ralph Phillips,Northern Sotho
Robin Ward,Italian
Lois Sanchez,Belarusian
Frances Moreno,Guaraní
Deborah Coleman,French
Ann Gutierrez,Gagauz
Lawrence Jackson,Indonesian
Steve Long,Malagasy
Douglas Riley,Kashmiri
Chris Tucker,German
Samuel Fox,Indonesian
Alan Chavez,Chinese
Richard Peterson,Kannada
Shirley Grant,Malay
Steven Thompson,Chinese
Carl Howard,Malay
Clarence Phillips,Thai
Lois Chapman,Sotho
Barbara Graham,Albanian
Janice Howell,Malagasy
Peter Webb,Arabic
Edward Woods,Latvian
Theresa Parker,Maltese
Mildred Allen,Chinese
Sara Pierce,Malayalam
Rebecca Wheeler,Belarusian
Jose Jackson,Latvian
Barbara Ross,Bislama
Sarah Turner,Kannada
Rebecca Kennedy,Tswana
Irene Austin,Nepali
Terry Riley,Bislama
Kathryn Chapman,Georgian
Johnny Chavez,Spanish
Nancy Lane,Dhivehi
Matthew Little,Khmer
Jesse Romero,Tamil
Larry Taylor,Malayalam
Rebecca Hanson,Kyrgyz
Ralph Ford,Czech
Jose Davis,Montenegrin
Anthony Ford,Korean
Sara Wheeler,Hindi
Virginia Baker,Indonesian
Jerry Jackson,Armenian
Patricia Murphy,Swati
Jason Castillo,Assamese
Martha Williamson,New Zealand Sign Language
Anna Hall,Swati
Kelly Bowman,Czech
Craig Jenkins,Portuguese
Jessica Morrison,Kashmiri
Judith Perez,Romanian
Todd Gonzalez,German
Jacqueline Ray,Pashto
Craig Simpson,Guaraní
Michelle Howell,Mongolian
Catherine Bryant,Bosnian
Nicholas Wheeler,Filipino
Mark Hart,Māori
Louise Carter,Gujarati
Scott Chapman,Estonian
Larry Ryan,Malay
Stephanie Gonzales,Pashto
Nancy Sanders,Malagasy
Jose Olson,Catalan
Karen Daniels,Thai
Rachel Freeman,West Frisian
Sandra James,Tajik
Lois West,Haitian Creole
Harold Woods,Bulgarian
Rose Stewart,Burmese
Ernest Kelly,Burmese
Bonnie Hill,Malayalam
Joyce Ruiz,Italian
Lawrence Bennett,Bengali
Margaret Wright,Tswana
Andrew Harper,Irish Gaelic
Walter Castillo,Macedonian
Steve Gray,Polish
Wanda Ortiz,Moldovan
Evelyn Kim,Maltese
George Alexander,Moldovan
Marie Gonzales,English
Kathleen Perez,Tswana
Howard Torres,Irish Gaelic
Frances Ryan,Afrikaans
Joseph Jordan,Luxembourgish
Gary Chapman,Punjabi
Samuel Montgomery,Lithuanian
Martin Bowman,Swahili
Virginia Martin,Tajik
Juan Hicks,Kyrgyz
Jerry Ferguson,Czech
Martin Willis,Guaraní
Sara Carpenter,French
Antonio Stanley,Fijian
Carlos Burns,Kyrgyz
Thomas Watkins,Malayalam
Debra Greene,Zulu
Ronald Garza,Hebrew
Angela James,Dzongkha
Alice Dixon,Kashmiri
Brandon Warren,Aymara
Jonathan Davis,Sotho
Lois Simpson,Oriya
Randy Lane,Papiamento
Sandra Flores,Estonian
Kathryn Powell,Persian
Brandon Turner,Punjabi
Juan Stanley,German
Jean Weaver,Icelandic
Laura Russell,Indonesian
Jessica Anderson,Swati
Chris Stanley,Zulu
Steven Carr,Gagauz
Gregory Palmer,Japanese
Scott Jenkins,Norwegian
Clarence Day,Tamil
Marie Stevens,Pashto
Dorothy Fisher,Danish
Harry Hunter,Swedish
Rachel Griffin,Northern Sotho
Beverly Garcia,Irish Gaelic
Dennis Mason,Ndebele
Melissa Rodriguez,Georgian
Bruce Morales,Tajik
Brian Green,Azeri
Kathleen Nguyen,Albanian
Shawn Taylor,Spanish
Barbara Walker,Azeri
Kathleen Vasquez,Marathi
Eugene Alvarez,Thai
James Ford,Tajik
Emily Armstrong,Guaraní
Juan Price,Icelandic
Gerald Montgomery,Aymara
Lillian Hernandez,Luxembourgish
Raymond George,Mongolian
Gary Payne,Punjabi
Rachel Long,Tetum
Andrew Carr,Northern Sotho
Janet Green,Malay
Scott Frazier,Ndebele
Kathleen Mccoy,Bengali
Todd Cruz,Amharic
Teresa Porter,Gujarati
Joshua Frazier,Korean
Brian Stephens,German
Melissa Griffin,Northern Sotho
Louis Holmes,Bulgarian
Lawrence Fernandez,Chinese
Christopher Ward,Moldovan
Nicholas Collins,Hungarian
Benjamin Henderson,Amharic
Raymond Bell,German
Janet Murphy,Amharic
Patrick Snyder,Kannada
Craig Lee,Bengali
Marilyn Lane,Quechua
Lillian Sanchez,Hungarian
Susan Perry,Guaraní
Gregory Lopez,Filipino
Alan Stephens,Bengali
Carlos Tucker,Tamil
Albert Henderson,Burmese
Tammy Allen,Guaraní
Jeremy Cruz,Dutch
Terry Clark,Indonesian
Craig Payne,German
Bonnie Wallace,Tswana
Robin Gonzales,Tajik
Carlos Medina,Quechua
Matthew Mitchell,Swahili
Antonio Collins,Persian
Nicholas Reyes,Quechua
Mildred Young,Dari
Wanda Hernandez,Hindi
Aaron Hart,Zulu
George Weaver,Icelandic
Paula Fields,Tsonga
Jerry Reynolds,Tsonga
Juan Sullivan,Zulu
Carolyn Grant,Tajik
Cheryl Powell,Kashmiri
Cheryl Ellis,Danish
Jerry Bailey,Hiri Motu
Sarah Garza,Swati
Martha Hayes,Tswana
Howard Palmer,Assamese
Marie Richardson,Belarusian
Louis Riley,Afrikaans
Carl Phillips,Polish
Melissa Stephens,Hebrew
Robin Evans,Latvian
Jason Lawrence,Azeri
Bonnie Hansen,Finnish
Donna Stevens,French
Wanda Garcia,Northern Sotho
Tammy Berry,Papiamento
Jean Ellis,Lithuanian
Gloria Knight,German
Sharon Ross,Estonian
Barbara Owens,Amharic
Clarence Burke,Burmese
Scott Bradley,Tok Pisin
Jean Kelley,Bislama
Louis Hall,Gagauz
Russell Romero,Khmer
Clarence Hicks,Moldovan
Chris Morrison,Irish Gaelic
Shawn Mason,Māori
Julie Riley,Kannada
Kathryn Castillo,Afrikaans
Joshua Wheeler,Chinese
Jessica Kelley,Bosnian
Sharon Martinez,Papiamento
Judith Hayes,Bulgarian
Jason Crawford,Icelandic
Andrew Little,Sotho
Alan Hudson,Somali
John Parker,Luxembourgish
Alan Mcdonald,Indonesian
Elizabeth Fisher,West Frisian
Jennifer Woods,Dari
Albert Cook,Romanian
Chris Ramos,Amharic
Barbara Lewis,Belarusian
Brenda Ruiz,Fijian
Larry Garrett,Quechua
Louis Mills,New Zealand Sign Language
Sean Lane,French
Jonathan Barnes,Korean
Jerry Allen,Indonesian
Debra Brooks,Korean
James Mccoy,Marathi
Stephanie Franklin,Telugu
Julie Stevens,Tajik
Robert Ryan,Telugu
Jeremy Hunter,Indonesian
Benjamin Payne,Icelandic
Harry Crawford,Tamil
Kelly Olson,Kurdish
Charles Vasquez,Bosnian
Stephen Peterson,West Frisian
Albert Ramirez,Guaraní
Donald Rose,New Zealand Sign Language
Jennifer Wheeler,Bislama
Maria Brown,Polish
Gregory Chapman,Dari
Cynthia Bishop,Quechua
Amanda Kelly,Indonesian
Wanda Edwards,Romanian
Wanda Lane,Latvian
Ronald Kelley,Irish Gaelic
Carl Nichols,Kurdish
Terry Mccoy,Sotho
Julie Baker,Belarusian
Sara Snyder,Danish
Douglas Thomas,Romanian
Antonio Flores,Hebrew
Thomas Perez,Guaraní
Rebecca Holmes,Malay
Diana Jackson,Armenian
Chris Gutierrez,Arabic
Kathryn Lynch,Guaraní
Jessica Garza,Malayalam
Bruce Woods,Assamese
Gary Garza,Azeri
Karen Clark,Haitian Creole
Alan Spencer,Greek
Roy Boyd,Tamil
Rachel Greene,Guaraní
Julie Berry,Estonian
Debra Marshall,Latvian
Jeremy Murphy,Bislama
Mildred Lawson,Polish
Harry Perez,Oriya
Raymond Garza,Sotho
Joseph Owens,Hebrew
Larry Fisher,Latvian
Annie Martin,Estonian
Rose Rogers,Hindi
Stephanie Bailey,Hebrew
Phyllis Clark,Czech
Cheryl Dean,German
Carolyn Romero,Gagauz
John Bennett,English
Carolyn Harrison,Greek
Clarence Coleman,Portuguese
Jason Kennedy,Nepali
Richard Hill,Italian
Jean Wheeler,Romanian
Stephen Pierce,Hindi
Louise Morales,English
Donna Edwards,Kurdish
Barbara Burton,Bulgarian
Christine Gibson,Spanish
Larry Nguyen,Dari
Lori Cox,Kyrgyz
Andrew Mcdonald,Haitian Creole
Angela Watkins,Japanese
Rebecca Ford,Tok Pisin
Brandon Price,Tsonga
Russell Williams,Swahili
Margaret Arnold,Portuguese
Ronald Dean,Kashmiri
Bonnie Moreno,Korean
Betty Morgan,Persian
Fred Clark,Romanian
Tina Young,Finnish
Gerald Martin,Finnish
Roger Romero,Arabic
George Bradley,Kurdish
Jeffrey Ray,Mongolian
Daniel Jenkins,Estonian
Irene Rogers,German
Michelle Miller,Norwegian
Carlos Dixon,Maltese
Andrea Nelson,Catalan
Richard Howell,Danish
Janet Hunter,Malayalam
Joseph Hansen,Malay
Gregory Williams,Lithuanian
Norma Murray,Croatian
Chris Fuller,Haitian Creole
Lillian Torres,Mongolian
Janice Howard,Hebrew
Lori Wagner,Somali
Martha Carter,Tajik
Brenda Jones,Punjabi
Emily Simmons,Malay
Keith Evans,Pashto
Elizabeth George,Khmer
Christopher Turner,Portuguese
Martin Wilson,Guaraní
Arthur Lawrence,Portuguese
Jesse Walker,Kyrgyz
Nicholas Thomas,Gujarati
Jacqueline Evans,Filipino
Philip Alvarez,Moldovan
Carolyn Adams,Greek
Eric Kim,Georgian
Christopher Ford,Gagauz
Debra Gordon,Haitian Creole
Harold Rodriguez,Ndebele
Kimberly Welch,Malayalam
Norma Castillo,Bosnian
Harold Mason,Hiri Motu
Patrick Warren,Catalan
Rebecca Wright,Swedish
Terry Richards,Tamil
Phyllis Stanley,West Frisian
Lillian Mills,Albanian
Nicole Spencer,Kashmiri
Jerry Scott,Fijian
Linda Hill,Bosnian
Jack Gonzalez,Greek
Paula Dean,Dhivehi
Emily Reed,Kashmiri
Frances Wagner,Georgian
Justin Martin,Mongolian
Gloria Banks,Guaraní
Timothy Larson,Greek
Russell Clark,Bengali
Randy Dean,Catalan
Joyce Hansen,Korean
Diana Tucker,English
Jose Schmidt,Quechua
Stephen Cook,Assamese
Jeremy Griffin,Macedonian
Victor Morgan,Bosnian
Ashley Reid,French
Virginia Fuller,Somali
Kelly Medina,Catalan
Eugene Reyes,Kazakh
Brenda Morrison,Bosnian
Anna Harris,Finnish
Christopher Morrison,Danish
Phyllis Williamson,Bulgarian
Alice Spencer,Malagasy
Christine Stanley,Tetum
James Bailey,Icelandic
Jeremy Russell,Gagauz
Scott Lawson,Oriya
Angela Stanley,Moldovan
Catherine Cunningham,Kurdish
Annie Howell,Nepali
Ruth Armstrong,Gujarati
Diana Thomas,Romanian
Earl Watkins,Bislama
Andrea Brooks,Irish Gaelic
Donna Rodriguez,Kashmiri
Todd Garrett,Polish
Matthew Hanson,Luxembourgish
Ruby Mason,Albanian
Anthony King,Luxembourgish
Dorothy Flores,Catalan
Justin Watkins,Oriya
Wanda Larson,Lithuanian
Raymond Burns,Persian
Daniel Woods,Marathi
Andrea Shaw,Kashmiri
Ralph Knight,Dzongkha
Thomas Pierce,Papiamento
Peter Thompson,Aymara
Cynthia Collins,Sotho
Matthew Miller,Lithuanian
Brenda Moreno,Gagauz
Heather Hanson,Gagauz
Raymond Ramos,Aymara
Roger King,Kashmiri
Catherine Kim,Zulu
Douglas Jacobs,Quechua
Samuel Greene,Greek
Maria Robertson,Tajik
Christopher Lane,Kazakh
Richard Carpenter,Kannada
Phillip Wheeler,Latvian
Anne Murray,Macedonian
Benjamin Carr,Macedonian
Howard Garrett,Mongolian
Kathryn Perry,Haitian Creole
Jason Matthews,Tsonga
Craig Murphy,Gagauz
Susan Reyes,Māori
Shirley Mcdonald,Ndebele
James Thompson,Montenegrin
Lillian Thompson,Northern Sotho
Joan Stanley,Finnish
Mary Howard,Maltese
Donna James,Luxembourgish
Wanda Dean,Indonesian
Karen Bell,Hebrew
Ralph Johnston,German
Frank Carroll,Portuguese
Sean Henderson,Spanish
Beverly Castillo,Hebrew
Anna Cook,Tetum
Mildred Fox,Bosnian
Paula Moore,Portuguese
Irene Jacobs,West Frisian
Brian Simmons,Kurdish
Benjamin Andrews,Oriya
Antonio Snyder,Quechua
Jason Lee,Bengali
Heather Snyder,Zulu
John Brown,Chinese
Clarence Butler,Finnish
Karen Wells,Dari
Eric Patterson,Norwegian
Evelyn Hayes,Lao
Jennifer Thomas,Kashmiri
Heather Fuller,Telugu
Katherine Patterson,Montenegrin
Chris Marshall,Tajik
Linda Garcia,Kurdish
Edward Dunn,Tetum
Arthur Rodriguez,Japanese
Michelle Montgomery,Swedish
Norma Hernandez,Maltese
Keith Phillips,Dhivehi
Jeremy Riley,Latvian
Carolyn Harper,Somali
Fred Ramirez,Dzongkha
Christine Fields,Oriya
Tammy Ray,Bosnian
Donald Perry,Oriya
Kimberly Romero,Gagauz
Raymond Reyes,Telugu
Shawn Hart,Swahili
Phyllis Reed,Marathi
Catherine Carr,Azeri
Robert Gardner,Indonesian
Howard Rivera,Assamese
Judy Arnold,Thai
Mary Martinez,Tetum
Gerald Gibson,Marathi
Ryan Stevens,Spanish
James Nguyen,Aymara
Janice Moore,Maltese
Heather Ross,Guaraní
Maria Gomez,Oriya
Douglas Warren,Norwegian
Alice Meyer,Marathi
Dennis Rodriguez,Kurdish
Jacqueline Freeman,Danish
Bonnie Hudson,Danish
Beverly Warren,Sotho
Diane Rivera,Amharic
Jimmy Ford,Northern Sotho
Marie Robertson,Yiddish
Rachel Hicks,Chinese
Sara Gardner,Georgian
Joe Ramos,Filipino
Paula Torres,Marathi
Marie Turner,Nepali
Walter Wells,Gagauz
Carlos Chavez,Moldovan
Antonio Mitchell,Swati
Rachel Cunningham,Fijian
Lawrence Riley,Nepali
Jimmy Johnson,Malagasy
Todd Cox,Zulu
Howard Mcdonald,Hungarian
Julie Lawrence,Northern Sotho
Antonio Roberts,Haitian Creole
Joseph Pierce,Burmese
Gloria Gilbert,Persian
Melissa Jordan,Punjabi
Daniel Moore,Irish Gaelic
Lois Dunn,Guaraní
Dorothy Riley,Hungarian
Nancy West,Malayalam
Kathleen Flores,Thai
Jason Frazier,Afrikaans
Diana Warren,Bislama
Craig Ward,Tswana
Phyllis George,Thai
Carolyn Welch,Azeri
Richard Hayes,Assamese
Adam Stanley,Kannada
Laura Lawson,Swedish
Stephanie Marshall,Fijian
Wanda Gardner,Montenegrin
Jacqueline George,Tswana
Christopher Harris,Kyrgyz
Nicholas Baker,Italian
Chris Armstrong,Nepali
Jack Fox,Tajik
Gerald Murphy,Haitian Creole
Maria Hunter,Māori
Rebecca Morgan,Assamese
Karen Fernandez,Catalan
Jerry Reynolds,Hungarian
Terry Harrison,Tsonga
Heather Austin,Gujarati
Sandra Lee,Afrikaans
Doris Castillo,Kazakh
Melissa Willis,Tsonga
Andrew Adams,Latvian
William Wheeler,Catalan
Michael Martin,Fijian
Judy Ross,Hebrew
Dennis Gonzales,Assamese
Brenda Mills,Khmer
Shirley Medina,Hiri Motu
Lois Roberts,Nepali
Sara Henderson,Belarusian
Timothy Cunningham,Spanish
Tammy Wheeler,Norwegian
Andrew Gardner,Marathi
Larry Long,Catalan
Peter Martin,Albanian
Elizabeth Arnold,Romanian
Barbara Holmes,Danish
Jeffrey Hamilton,Romanian
Andrew Owens,Amharic
Linda Garrett,Spanish
Rebecca Morgan,Hindi
Heather Jordan,Tetum
Virginia Gray,Hebrew
Julia Payne,Norwegian
Lori Holmes,Finnish
Edward Austin,Romanian
Johnny Watson,Quechua
Angela Chapman,Albanian
Patrick Rivera,Assamese
Ryan Campbell,Tajik
William Roberts,Maltese
Carlos Mendoza,Lao
Howard Green,Croatian
Gregory Cruz,Amharic
Jason Graham,Azeri
Lillian Howell,Kazakh
Willie Matthews,Khmer
Anne Kennedy,Italian
Adam Gonzales,Lithuanian
Benjamin Smith,Belarusian
Wanda Gray,Dhivehi
Heather Robertson,Papiamento
Elizabeth Harvey,Dzongkha
Wayne Harvey,Haitian Creole
Jacqueline Mendoza,Quechua
Roy Watson,Aymara
Eugene Dean,Icelandic
Steve Flores,Persian
Jeremy Hernandez,Guaraní
Martin Hamilton,Bislama
Randy Gordon,Azeri
Linda Fuller,Macedonian
Kathryn Roberts,Mongolian
Jacqueline Harper,Punjabi
Anthony Thomas,Lithuanian
Phyllis Hicks,Northern Sotho
Michelle Ward,English
Teresa Day,Spanish
Andrea Richards,Afrikaans
Thomas Cunningham,Arabic
Teresa Morrison,Romanian
Peter Kim,Italian
Chris Phillips,Finnish
Kimberly Morris,Czech
Patrick Wells,Khmer
Earl Gonzalez,Dari
Andrew Cox,Hiri Motu
William Wheeler,Kyrgyz
Phillip Richards,Yiddish
Lillian Kim,Quechua
Donald Murphy,Lithuanian
Scott Robertson,Ndebele
Betty Kennedy,Romanian
Andrew Harrison,Punjabi
Catherine Bowman,Tswana
Victor Bryant,German
Anne Day,Georgian
Jacqueline Morrison,Māori
Andrew Johnston,West Frisian
Jonathan Brooks,Greek
Adam Gardner,Norwegian
Nancy Green,Estonian
Maria Ortiz,Macedonian
Raymond Holmes,Nepali
Melissa Torres,Swahili
Keith Barnes,Gagauz
Lawrence Hamilton,Hebrew
Jose Lawson,Oriya
Katherine Rice,Swati
Gerald Patterson,Maltese
Jessica Mccoy,Albanian
Beverly Spencer,Khmer
Jeremy Bailey,Guaraní
Albert Vasquez,Irish Gaelic
Jeffrey Watson,Romanian
Beverly Gray,Dhivehi
Kenneth Bell,Kashmiri
William Arnold,Hebrew
Frances Carroll,Filipino
Louis Morales,Malay
Kenneth Martin,Malayalam
Carol Patterson,Chinese
Christopher Grant,Maltese
Gloria Ortiz,Swedish
Justin Cox,English
Sara Griffin,Dzongkha
Ronald Bishop,Georgian
Wanda Long,Northern Sotho
Willie Nguyen,Swedish
Ann Ray,Greek
Judy Ruiz,Malay
Joyce Oliver,Mongolian
Maria Simpson,Hindi
Kevin Gibson,Danish
Douglas Willis,Malay
Carol Hamilton,Swahili
Adam Little,Estonian
Kelly Myers,New Zealand Sign Language
Gary Fisher,Khmer
Harry Duncan,Amharic
Katherine Gray,Croatian
Shawn James,Malagasy
Nicole Carter,Ndebele
Justin Bell,Sotho
Kelly Wallace,Polish
Virginia Lawson,Pashto
Elizabeth Jordan,Gujarati
Andrea Mills,Bislama
Samuel Rodriguez,Lao
Amy Chavez,Māori
Terry Holmes,Bislama
Ashley Morgan,Gujarati
Samuel Fields,Guaraní
Jane Robertson,Kashmiri
Lois Alvarez,Yiddish
Kathleen Simpson,Dzongkha
Bonnie Foster,Tok Pisin
Jacqueline Owens,Icelandic
Gerald James,Polish
Carl Ford,Lithuanian
James Alexander,Montenegrin
Willie Oliver,Persian
Andrea Cruz,Mongolian
Jane Romero,Montenegrin
Linda Frazier,Tajik
Joyce Lynch,Czech
Edward Clark,Yiddish
Willie Cooper,Pashto
Lawrence Young,Kyrgyz
Mark Rogers,Belarusian
Jacqueline Burton,Polish
Roy West,Aymara
Eugene Wallace,Tetum
Harry Elliott,Arabic
Sarah Cruz,Marathi
Mary Fernandez,Dari
Thomas Vasquez,Japanese
Denise Hunt,Khmer
David Hayes,Icelandic
Howard Fowler,Czech
Jesse Lane,Malay
Louis Peterson,Greek
Bobby Pierce,Yiddish
Dennis Wagner,Papiamento
Clarence Wright,Moldovan
Julie Smith,Kazakh
Stephanie Hill,Dhivehi
Janet Simpson,Polish
Martin Evans,Chinese
Andrea Walker,Papiamento
Matthew Kim,New Zealand Sign Language
Anne Palmer,Czech
Lawrence Marshall,Azeri
Eric Ramirez,Swati
Keith Watson,Fijian
Jeffrey West,French
Joshua Bailey,French
Phyllis Henderson,Gujarati
Ruby Lane,Catalan
Joseph Warren,Lithuanian
Kevin Wells,Zulu
Judy Riley,Azeri
Stephanie Andrews,Tajik
Johnny Ramos,Bengali
Linda Edwards,Persian
Deborah Dean,Kazakh
Doris Holmes,Georgian
Jean Graham,Ndebele
Amanda Carr,Nepali
Terry Burns,Japanese
Benjamin Ramos,Gujarati
Judith Castillo,West Frisian
Michael Baker,Japanese
Rachel Willis,Irish Gaelic
Virginia Freeman,Arabic
Janet Wood,Khmer
Evelyn Howard,Thai
Janet Hicks,New Zealand Sign Language
Gary Bell,Belarusian
Jeremy King,Arabic
Jennifer Carr,Afrikaans
George Woods,Kashmiri
Helen Harper,Amharic
Carl Jenkins,West Frisian
Albert Romero,Mongolian
Douglas Nelson,Mongolian
Earl Martin,Hebrew
Phyllis Gray,English
Sarah Rose,Fijian
Jennifer Hawkins,Pashto
Walter Edwards,Armenian
Margaret Duncan,Kazakh
Shirley Hansen,Icelandic
Catherine Murray,Korean
Lillian Willis,Dari
Catherine Jenkins,Hungarian
Lois Weaver,Dzongkha
Teresa Fowler,Romanian
Jennifer Woods,Moldovan
James Oliver,Filipino
Judy Ryan,Amharic
Angela Knight,Northern Sotho
Jacqueline Wells,Norwegian
Stephanie Medina,Papiamento
Jerry Fox,Thai
Samuel Alexander,Malayalam
Thomas Richardson,Portuguese
Victor Clark,Norwegian
Scott Smith,Telugu
Frank Carr,Bengali
Frances Jacobs,West Frisian
Wayne Ortiz,Northern Sotho
Nancy Warren,Somali
Michelle Burton,Dzongkha
Craig Ferguson,Tetum
Adam Turner,Fijian
Lillian Gilbert,Korean
Howard Ellis,Thai
Phillip Kim,Yiddish
Jeremy Gonzales,Tsonga
Robert Bryant,Quechua
Robert Diaz,Tamil
Rose Tucker,Swati
Kathleen Morales,Hindi
Edward Marshall,Northern Sotho
Todd Edwards,Italian
Phyllis Sims,Tetum
Doris Martinez,Amharic
Rose Mitchell,Yiddish
Christina Payne,Moldovan
Catherine Bennett,Danish
Frank Sims,Fijian
Bonnie Kelley,Arabic
Barbara Johnson,Assamese
Jessica Perkins,Tetum
Nicholas Ryan,Hungarian
Melissa Carter,Japanese
Daniel Holmes,Punjabi
Thomas Hall,German
Joan Lawrence,Tajik
Clarence Howell,Montenegrin
Maria Carter,Malagasy
Debra Day,Haitian Creole
Cynthia Boyd,Tok Pisin
Paul Alexander,Malay
Earl Price,Belarusian
Lillian Franklin,Maltese
Judy Armstrong,Somali
Ruth Snyder,Bengali
Alan Banks,Amharic
Lori Thomas,Hindi
Walter Hart,Arabic
Jack Fox,Kazakh
Anna Cox,English
Andrea Ross,Latvian
Clarence Hansen,Belarusian
Gary Watkins,Tok Pisin
Eric Hawkins,Estonian
Gloria Warren,Kyrgyz
Ruth Allen,Montenegrin
Deborah Fernandez,Macedonian
Louise Miller,Pashto
Jeremy Young,New Zealand Sign Language
Carol Cole,Arabic
Nicholas Bell,Tajik
Earl Gomez,Luxembourgish
Brian Ryan,Dhivehi
Richard Edwards,Finnish
Jerry Carr,West Frisian
Jennifer Roberts,Hebrew
Teresa Stephens,Japanese
Mark Hall,Icelandic
Mary Harris,Bislama
Norma Stanley,Albanian
Eugene Cruz,Khmer
Jessica Parker,Chinese
Frances Gibson,Dari
Willie King,Hiri Motu
Carolyn Gibson,Azeri
Eugene Ortiz,Tamil
James Wheeler,Gujarati
Frank Bailey,Hebrew
Jack Meyer,French
Howard Vasquez,Thai
Jerry Morgan,Polish
Fred Alvarez,Macedonian
Susan Clark,Swati
Anne Gomez,Marathi
Ruby Fernandez,Armenian
Frank Hart,Burmese
Anne Stewart,Hiri Motu
Louise Gordon,Lithuanian
Jennifer Ramos,Mongolian
Alice Mitchell,Amharic
Brenda Dean,Guaraní
Paul Castillo,Amharic
Julie Hill,Aymara
Jessica Brown,Oriya
Jacqueline Greene,Kashmiri
Jessica Bell,Tok Pisin
Carol Miller,Tamil
Adam Franklin,Mongolian
Margaret Elliott,Mongolian
Christina Arnold,Montenegrin
Gerald Jenkins,Korean
William Bradley,Afrikaans
Keith Walker,Bislama
Howard Tucker,German
Randy Dixon,Bosnian
Clarence Hicks,Kannada
Judith Hughes,Tswana
Mildred Ryan,Hungarian
Bonnie Ortiz,Tetum
Judy Diaz,Tok Pisin
Nicholas Jordan,Papiamento
Gloria Chapman,Māori
Sandra Burton,Punjabi
Jack Hamilton,Malagasy
Jessica Simmons,Spanish
Paul Hanson,Bislama
Lillian Henderson,Hungarian
Matthew Hill,New Zealand Sign Language
Paula Wallace,Sotho
Katherine Lynch,Yiddish
Roy Cooper,Maltese
Ernest Chapman,Assamese
Joseph Coleman,Swedish
Todd Chapman,Māori
Alice Warren,Bislama
Helen Dixon,Bosnian
Sean Palmer,Assamese
Joyce Hayes,Maltese
Carolyn Foster,Khmer
Bonnie Olson,Norwegian
Daniel Rivera,Assamese
Sean Bennett,Swahili
Albert Watkins,Māori
Louise Hill,Sotho
Susan Diaz,Gujarati
Robin Carpenter,Swedish
Beverly Mason,Latvian
Emily Alvarez,Punjabi
Antonio Oliver,Tajik
Maria Owens,Marathi
Victor Willis,Macedonian
Carl Gutierrez,Oriya
Brenda Mason,Azeri
Ashley Webb,Mongolian
Dennis Grant,Luxembourgish
Russell Washington,Tok Pisin
Lori Adams,Bosnian
Brian West,Dutch
Edward Henderson,Tswana
Joseph Thomas,Somali
Martin Burke,Romanian
Helen Mendoza,Portuguese
Elizabeth White,Malagasy
Joyce Stevens,Greek
Stephanie Burton,Dutch
Mark Rice,Albanian
Henry Porter,Malayalam
Andrew Nguyen,Lithuanian
Ralph Young,Tswana
Jean Austin,Norwegian
Matthew Stevens,Chinese
Denise Cruz,Kannada
Kenneth Mcdonald,Haitian Creole
Jack Andrews,West Frisian
Janice Lewis,Marathi
Clarence Peterson,Romanian
Laura Rice,Indonesian
Kelly Perry,Hebrew
Norma Davis,Kyrgyz
Lisa Schmidt,Bosnian
Lillian Gonzales,Macedonian
Scott Burke,Greek
Lillian Carter,Swahili
Earl Morris,Pashto
Heather Taylor,Icelandic
Rebecca Stevens,Bengali
Martha Mendoza,Papiamento
Stephen Gonzales,Dzongkha
Nancy Hicks,Lao
Laura Rivera,Belarusian
